8517.28,4,2.20543,1.74137,-0.0517252
8517.33,4,2.22101,1.73898,-0.059248
8517.38,4,2.23804,1.73507,-0.0683445
8517.43,4,2.25037,1.73498,-0.0672343
8517.48,4,2.258,1.73907,-0.0464152
8517.53,4,2.26452,1.74525,-0.00586425
8517.58,4,2.27133,1.74809,-0.0106281
8517.63,4,2.28076,1.74713,-0.0446766
8517.68,4,2.29146,1.74218,-0.115693
8517.73,4,2.30182,1.73668,-0.18259
8517.78,4,2.31115,1.73305,-0.220637
8517.83,4,2.31961,1.73113,-0.237275
8517.88,4,2.32765,1.73111,-0.234528
8517.93,4,2.33557,1.73195,-0.227057
8517.98,4,2.34307,1.73264,-0.229552
8518.03,4,2.35125,1.73252,-0.240753
8518.08,4,2.3602,1.72862,-0.283492
8518.13,4,2.36952,1.72437,-0.325401
8518.18,4,2.3802,1.71897,-0.367983
8518.23,4,2.39088,1.71372,-0.407892
8518.28,4,2.40138,1.70865,-0.446466
8518.33,4,2.41134,1.70333,-0.488714
8518.38,4,2.42033,1.69655,-0.543918
8518.43,4,2.4285,1.68881,-0.605609
8518.48,4,2.43631,1.68125,-0.663863
8518.53,4,2.44319,1.67414,-0.719571
8518.58,4,2.4491,1.66694,-0.775108
8518.63,4,2.45334,1.66047,-0.827792
8518.68,4,2.4559,1.65581,-0.873159
8518.73,4,2.45785,1.65162,-0.915344
8518.78,4,2.45971,1.64681,-0.955815
8518.83,4,2.46188,1.64176,-0.990501
8518.88,4,2.46427,1.63662,-1.0201
8518.93,4,2.4667,1.63179,-1.04397
8518.98,4,2.46941,1.62679,-1.0632
8519.03,4,2.47254,1.62098,-1.08009
8519.08,4,2.47602,1.61406,-1.09689
8519.13,4,2.48006,1.60635,-1.11245
8519.18,4,2.48429,1.59839,-1.1272
8519.23,4,2.48822,1.59058,-1.14257
8519.28,4,2.49211,1.58341,-1.15657
8519.33,4,2.49609,1.57636,-1.17061
8519.38,4,2.49981,1.56956,-1.18576
8519.43,4,2.50373,1.56264,-1.20223
8519.48,4,2.50757,1.55548,-1.22119
8519.53,4,2.51129,1.54793,-1.24214
8519.58,4,2.51467,1.53946,-1.26626
8519.63,4,2.51757,1.5303,-1.29267
8519.68,4,2.52048,1.5207,-1.31816
8519.73,4,2.52355,1.51073,-1.34156
8519.78,4,2.52608,1.5005,-1.3647
8519.83,4,2.52849,1.4904,-1.3854
8519.88,4,2.53086,1.4806,-1.40233
8519.93,4,2.53278,1.47083,-1.41733
8519.98,4,2.53461,1.46085,-1.43036
8520.03,4,2.5367,1.45097,-1.44051
8520.08,4,2.53882,1.4416,-1.4474
8520.13,4,2.54059,1.43261,-1.452
8520.18,4,2.5419,1.42398,-1.45473
8520.23,4,2.54297,1.4151,-1.45708
8520.28,4,2.54423,1.40607,-1.45802
